player_name,team,photo,0
A.Becker,LIV,116535,1
A.Doucoure,EVE,121599,1
Akanji,MCI,211975,1
Aké,MCI,126184,1
Alex Moreno,AVL,106468,1
Alexander-Arnold,LIV,169187,1
Almirón,NEW,179018,1
Andreas,FUL,156689,1
Antonio,WHU,57531,1
Antony,MUN,467169,1
Areola,WHU,84182,1
Arrizabalaga,CHE,109745,1
Aurier,NFO,80226,1
Awoniyi,NFO,210156,1
Aït-Nouri,WOL,448514,1
B.Fernandes,MUN,141746,1
Balogun,ARS,232223,1
Barnes,NEW,201666,1
Benrahma,WHU,172841,1
Bernardo,MCI,165809,1
Botman,NEW,220237,1
Bowen,WHU,178186,1
Brooks,BOU,111317,1
Bruno G.,NEW,208706,1
Burn,NEW,78916,1
Calvert-Lewin,EVE,177815,1
Cancelo,MCI,121145,1
Casemiro,MUN,61256,1
Cash,AVL,199796,1
Chalobah,CHE,180736,1
Chilwell,CHE,172850,1
Colwill,CHE,460028,1
Coutinho,AVL,84583,1
Cunha,WOL,430871,1
Dalot,MUN,216051,1
Danjuma,EVE,220307,1
Darwin,LIV,447203,1
Davies,TOT,115556,1
De Bruyne,MCI,61366,1
Diaby,AVL,243557,1
Diogo J.,LIV,194634,1
Douglas Luiz,AVL,230046,1
Dunk,BHA,83299,1
Ederson M.,MCI,121160,1
Edouard,CRY,199670,1
Enciso,BHA,474120,1
Eriksen,MUN,80607,1
Estupiñan,BHA,204214,1
Eze,CRY,232413,1
Fabianski,WHU,37096,1
Ferguson,BHA,487117,1
Foden,MCI,209244,1
G.Jesus,ARS,205651,1
Gabriel,ARS,226597,1
Gakpo,LIV,243298,1
Gibbs-White,NFO,222531,1
Gomez,LIV,171287,1
Grealish,MCI,114283,1
Gross,BHA,60307,1
Guaita,CRY,40836,1
Guéhi,CRY,209036,1
Gvardiol,MCI,477424,1
Haaland,MCI,223094,1
Havertz,ARS,219847,1
Henderson,MUN,172649,1
Henry,BRE,194010,1
Højlund,MUN,497894,1
Ings,WHU,84939,1
Isak,NEW,219168,1
Iwobi,EVE,153133,1
J.Alvarez,MCI,461358,1
J.Otto,WOL,114128,1
J.Timber,ARS,445122,1
James,CHE,225796,1
Jensen,BRE,207283,1
Joelinton,NEW,180974,1
Johnson,NFO,242898,1
Johnstone,CRY,101982,1
José Sá,WOL,149065,1
João Pedro,BHA,475168,1
Kane,TOT,78830,1
Kilman,WOL,214048,1
Konaté,LIV,204716,1
Konsa,AVL,199798,1
Kulusevski,TOT,445044,1
L.Paquetá,WHU,224024,1
Laporte,MCI,146941,1
Leno,FUL,80201,1
Lindelof,MUN,184667,1
Lloris,TOT,37915,1
Luis Díaz,LIV,244731,1
Lukaku,CHE,66749,1
M.Sarr,CHE,204727,1
Mac Allister,LIV,243016,1
Maddison,TOT,172780,1
Madueke,CHE,248857,1
Malacia,MUN,222690,1
March,BHA,109345,1
Martial,MUN,148225,1
Martinelli,ARS,444145,1
Martinez,AVL,98980,1
Martinez,MUN,221820,1
Matheus N.,WOL,465351,1
Matip,LIV,60914,1
Mbeumo,BRE,446008,1
McBurnie,SHU,169432,1
Mee,BRE,51927,1
Mings,AVL,149484,1
Mitoma,BHA,451340,1
Mitrović,FUL,128389,1
Moore,BOU,128340,1
Morris,LUT,156700,1
Mount,MUN,184341,1
Mudryk,CHE,465920,1
N.Jackson,CHE,517052,1
Neto,BOU,69752,1
Nketiah,ARS,205533,1
Nkunku,CHE,213198,1
Olise,CRY,443661,1
Onana,MUN,202641,1
Pedro Porro,TOT,441164,1
Perišić,TOT,45034,1
Pickford,EVE,111234,1
Pinnock,BRE,231065,1
Pope,NEW,98747,1
R.Varane,MUN,90152,1
Ramsdale,ARS,225321,1
Rashford,MUN,176297,1
Raya,BRE,154561,1
Raúl,FUL,102057,1
Ream,FUL,82514,1
Rice,ARS,204480,1
Richarlison,TOT,212319,1
Roberts,BUR,192290,1
Robertson,LIV,122798,1
Robinson,FUL,169528,1
Rodrigo,MCI,220566,1
Rodriguez,BUR,44683,1
Rúben,MCI,171314,1
Saka,ARS,223340,1
Salah,LIV,118748,1
Saliba,ARS,462424,1
Sanchez,CHE,215059,1
Sancho,MUN,209243,1
Schär,NEW,119471,1
Shaw,MUN,106760,1
Solanke,BOU,154566,1
Son,TOT,85971,1
Steele,BHA,49262,1
Sterling,CHE,103955,1
Stones,MCI,97299,1
Szoboszlai,LIV,424876,1
T.Silva,CHE,51090,1
Tarkowski,EVE,17761,1
Tielemans,AVL,166989,1
Tierney,ARS,192895,1
Tonali,NEW,432422,1
Toney,BRE,144485,1
Trafford,BUR,432720,1
Trippier,NEW,77794,1
Trossard,ARS,116216,1
Turner,NFO,224068,1
Veltman,BHA,111478,1
Verbruggen,BHA,489639,1
Vicario,TOT,184254,1
Vinícius,FUL,245824,1
Virgil,LIV,97032,1
Walker,MCI,58621,1
Wan-Bissaka,MUN,214590,1
Watkins,AVL,178301,1
Weghorst,BUR,120202,1
Welbeck,BHA,50175,1
White,ARS,198869,1
Willock,NEW,200089,1
Wilson,FUL,153682,1
Wilson,NEW,75115,1
Wissa,BRE,216646,1
Zinchenko,ARS,206325,1
Zouma,WHU,103192,1
Ødegaard,ARS,184029,1
